System,EventTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
Apache,jk2_init() Can't find child <*> in scoreboard,2,0,0,0,0,0,0,0,0,0
Apache,mod_jk child init <*> <*>,0,1,0,0,0,0,0,0,0,0
Apache,[client <*>] Directory index forbidden by rule: <*>,0,0,0,0,0,0,0,0,1,0
Apache,jk2_init() Found child <*> in scoreboard slot <*>,0,0,0,0,0,0,0,0,1,0
Apache,workerEnv.init() ok <*>,2,0,0,0,0,0,0,0,0,0
Apache,mod_jk child workerEnv in error state <*>,2,0,0,0,0,0,0,0,0,0
HPC,Component State Change: Component <*> is in the unavailable state (HWID=<*>),0,0,0,0,0,0,0,0,0,0
HPC,clusterAddMember (command <*>),0,0,0,0,0,0,0,0,0,0
HPC,risBoot (command <*>),0,0,0,0,0,0,0,0,1,0
HPC,halt (command <*>),0,0,0,0,0,0,0,0,0,0
HPC,bootGenvmunix (command <*>),0,0,0,0,0,0,0,0,0,0
HPC,boot (command <*>),0,0,0,0,0,0,5,0,0,0
HPC,wait (command <*>),0,0,0,0,0,0,0,1,0,0
HPC,Command has completed successfully,0,0,0,0,0,0,0,0,0,0
HPC,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>,0,0,0,0,0,0,0,0,0,0
HPC,Targeting domains:node-<*> nodes:node-<*>,0,0,0,0,0,0,0,0,0,0
HPC,psu failure\ ambient=<*>,0,0,0,0,0,0,0,0,0,0
HPC,Temperature (<*>) exceeds warning threshold,0,0,0,0,0,0,0,0,0,0
HPC,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,0,0,0,0,0,0,0,0,0,0
HPC,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0,0,0,0,0,0,0,0,0,0,0
HPC,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>,0,0,1,0,0,0,0,0,0,0
HPC,Fan speeds ( <*> <*> <*> <*> <*> <*> ),0,0,0,0,0,0,0,0,0,0
HPC,Fan speeds ( <*> <*> <*> **** <*> <*> ),0,0,0,0,0,0,0,1,0,0
HPC,Command has been aborted,0,0,0,0,0,0,0,0,0,0
HPC,power/control problem,0,0,0,0,0,0,0,1,0,0
HPC,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>,0,1,1,0,0,0,0,0,0,0
HPC,ServerFileSystem: ServerFileSystem domain <*> is full,0,0,0,0,0,0,0,0,0,0
HPC,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>,0,0,0,0,0,0,0,0,0,0
HPC,not-responding,0,0,0,0,0,0,0,0,1,0
HPC,starting,0,0,0,0,0,0,0,0,0,0
HPC,closing,0,0,0,0,0,0,0,0,0,0
HPC,active,0,0,0,0,0,0,0,0,0,0
HPC,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <*>,0,0,0,0,0,0,0,0,0,0
HPC,blocked,0,0,0,0,0,0,0,0,0,0
HPC,not responding,0,0,0,0,0,0,0,0,0,0
