LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
69,-,1118112700,2005.06.06,R23-M0-N0-I:J18-U01,2005-06-06-19.51.40.376079,R23-M0-N0-I:J18-U01,RAS,KERNEL,INFO,ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,BGL_E19,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
163,KERNDTLB,1118557583,2005.06.11,R30-M0-N9-C:J16-U01,2005-06-11-23.26.23.330548,R30-M0-N9-C:J16-U01,RAS,KERNEL,FATAL,data TLB error interrupt,BGL_E55,data TLB error interrupt,BGL,O O O O O O O O O O O OBA O O O O LOI,0,1,0,0,0,0,0,1,0,0
165,-,1118699850,2005.06.13,R22-M0-NC-I:J18-U01,2005-06-13-14.57.30.126106,R22-M0-NC-I:J18-U01,RAS,KERNEL,INFO,ciod: Message code 0 is not 51 or 4294967295,BGL_E38,ciod: Message code <*> is not <*> or <*>,BGL,O O O O O O O O O OID O O O,1,0,0,0,0,0,0,0,0,0
229,KERNSTOR,1118769444,2005.06.14,R21-M0-N4-C:J05-U11,2005-06-14-10.17.24.504094,R21-M0-N4-C:J05-U11,RAS,KERNEL,FATAL,data storage interrupt,BGL_E52,data storage interrupt,BGL,O O O O O O O O O OID O O O O O O O OBA O OID O OBA,2,0,0,0,0,0,0,2,0,0
238,-,1118769705,2005.06.14,R21-M1-N4-C:J10-U01,2005-06-14-10.21.45.802128,R21-M1-N4-C:J10-U01,RAS,KERNEL,FATAL,data address: 0x00000002,BGL_E50,data address: <*>,BGL,O O O O O O O O O O O O OBA OBA OBA LOI,0,1,0,0,0,0,0,3,0,0
242,-,1118769993,2005.06.14,R20-M0-N4-C:J15-U01,2005-06-14-10.26.33.758477,R20-M0-N4-C:J15-U01,RAS,KERNEL,FATAL,machine check: i-fetch......................0,BGL_E84,machine check: i-fetch......................<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
248,-,1118770309,2005.06.14,R20-M1-NB-C:J03-U11,2005-06-14-10.31.49.464584,R20-M1-NB-C:J03-U11,RAS,KERNEL,FATAL,program interrupt: trap instruction.........0,BGL_E104,program interrupt: trap instruction.........<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
251,-,1118770625,2005.06.14,R20-M0-NF-C:J07-U01,2005-06-14-10.37.05.332040,R20-M0-NF-C:J07-U01,RAS,KERNEL,FATAL,store operation.............................1,BGL_E116,store operation.............................<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
262,-,1118771098,2005.06.14,R26-M1-N4-C:J13-U11,2005-06-14-10.44.58.632865,R26-M1-N4-C:J13-U11,RAS,KERNEL,FATAL,machine check enable..............0,BGL_E83,machine check enable..............<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
265,-,1118771302,2005.06.14,R27-M1-N8-C:J09-U11,2005-06-14-10.48.22.614188,R27-M1-N8-C:J09-U11,RAS,KERNEL,FATAL,debug interrupt enable............0,BGL_E57,debug interrupt enable............<*>,BGL,O O O O O O O O O O O OBA O O O O LOI,0,1,0,0,0,0,0,1,0,0
268,-,1118771409,2005.06.14,R20-M1-N8-C:J15-U11,2005-06-14-10.50.09.563848,R20-M1-N8-C:J15-U11,RAS,KERNEL,FATAL,byte ordering exception.....................0,BGL_E16,byte ordering exception.....................<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
274,-,1118771679,2005.06.14,R21-M1-N5-C:J05-U11,2005-06-14-10.54.39.063056,R21-M1-N5-C:J05-U11,RAS,KERNEL,FATAL,program interrupt: fp cr update.............0,BGL_E100,program interrupt: fp cr update.............<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
276,-,1118771847,2005.06.14,R26-M0-N8-C:J03-U01,2005-06-14-10.57.27.640707,R26-M0-N8-C:J03-U01,RAS,KERNEL,FATAL,guaranteed instruction cache block touch.0,BGL_E69,guaranteed instruction cache block touch.<*>,BGL,O O O O O O O O O O O OID,1,0,0,0,0,0,0,0,0,0
280,-,1118771928,2005.06.14,R27-M1-N4-C:J05-U11,2005-06-14-10.58.48.336960,R27-M1-N4-C:J05-U11,RAS,KERNEL,FATAL,guaranteed data cache block touch........1,BGL_E68,guaranteed data cache block touch........<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
281,-,1118771934,2005.06.14,R24-M0-ND-C:J02-U11,2005-06-14-10.58.54.996783,R24-M0-ND-C:J02-U11,RAS,KERNEL,FATAL,program interrupt: fp cr field .............0,BGL_E99,program interrupt: fp cr field .............<*>,BGL,O O O O O O O O O O OID O OID,2,0,0,0,0,0,0,0,0,0
282,-,1118771988,2005.06.14,R27-M0-N7-C:J02-U01,2005-06-14-10.59.48.153923,R27-M0-N7-C:J02-U01,RAS,KERNEL,FATAL,force load/store alignment...............0,BGL_E64,force load/store alignment...............<*>,BGL,O O O O O O O O O O O O O O O O O O LOI O O O O,0,1,0,0,0,0,0,0,0,0
283,-,1118772022,2005.06.14,R26-M0-N6-C:J14-U11,2005-06-14-11.00.22.056566,R26-M0-N6-C:J14-U11,RAS,KERNEL,FATAL,icache prefetch depth....................0,BGL_E71,icache prefetch depth....................<*>,BGL,O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
287,-,1118772122,2005.06.14,R27-M0-N1-C:J08-U11,2005-06-14-11.02.02.749469,R27-M0-N1-C:J08-U11,RAS,KERNEL,FATAL,icache prefetch threshold................0,BGL_E72,icache prefetch threshold................<*>,BGL,O O O O O O O O O OBA O O O O O O TDA O O O O O O O TDA O O O O O O O O,0,0,0,0,0,2,0,1,0,0
288,-,1118772150,2005.06.14,R24-M0-NC-C:J12-U11,2005-06-14-11.02.30.070774,R24-M0-NC-C:J12-U11,RAS,KERNEL,FATAL,machine state register: 0x00002000,BGL_E85,machine state register: <*>,BGL,O O O O O O O O O OID O O O,1,0,0,0,0,0,0,0,0,0
289,-,1118772188,2005.06.14,R20-M0-N3-C:J06-U11,2005-06-14-11.03.08.491655,R20-M0-N3-C:J06-U11,RAS,KERNEL,FATAL,wait state enable.................0,BGL_E120,wait state enable.................<*>,BGL,O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
290,-,1118772337,2005.06.14,R24-M0-N7-C:J06-U01,2005-06-14-11.05.37.845720,R24-M0-N7-C:J06-U01,RAS,KERNEL,FATAL,critical input interrupt enable...0,BGL_E48,critical input interrupt enable...<*>,BGL,O O O O O O O O O O O O O O O O O O LOI O O O,0,1,0,0,0,0,0,0,0,0
