LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
12,460773,node-199,unix.hw,state_change.unavailable,1145552100,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),HPC_E13,Component State Change: Component <*> is in the unavailable state (HWID=<*>),HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
14,2570772,node-124,action,start,1074123150,1,clusterAddMember  (command 1900),HPC_E8,clusterAddMember (command <*>),HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
15,2571927,node-28,action,start,1074125371,1,risBoot  (command 1903),HPC_E36,risBoot (command <*>),HPC,O O O O O O O O STC,0,0,0,0,0,0,0,0,1,0
93,373784,node-147,action,start,1085979758,1,halt  (command 2992),HPC_E19,halt (command <*>),HPC,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
150,401417,node-129,action,start,1142537875,1,bootGenvmunix  (command 4185),HPC_E6,bootGenvmunix (command <*>),HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
151,460486,node-181,action,start,1145552039,1,boot  (command 4223),HPC_E4,boot (command <*>),HPC,O O O O O O O O O CRS CRS CRS O CRS CRS O,0,0,0,0,0,0,5,0,0,0
153,461572,node-116,action,start,1145552379,1,wait  (command 4219),HPC_E45,wait (command <*>),HPC,O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
163,240717,3664,boot_cmd,success,1118282468,1,Command has completed successfully,HPC_E12,Command has completed successfully,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
171,128520,3491,boot_cmd,new,1111855423,1,Targeting domains:node-D2 and nodes:node-[64-95] child of command 3488,HPC_E42,Targeting domains:node-<*> and nodes:node-[<*>-<*>] child of command <*>,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
172,276415,3709,boot_cmd,new,1119845316,1,Targeting domains:node-D2 and nodes:node-84,HPC_E43,Targeting domains:node-<*> nodes:node-<*>,HPC,O O O O O O O,0,0,0,0,0,0,0,0,0,0
