LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,Hadoop_E29,Created MRAppMaster for application <*>,Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,Hadoop_E42,Executing with tokens:,Hadoop,O O O O O O O O O O LOI O O OBA O O O O OBA TDA O,0,1,0,0,0,1,0,2,0,0
3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",Hadoop_E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,Hadoop_E111,Using mapred newApiCommitter.,Hadoop,O O O O O O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,Hadoop_E76,OutputCommitter set in config <*>,Hadoop,O O O O O O O O O O O O O OID O,1,0,0,0,0,0,0,0,0,0
6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,Hadoop_E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],Hadoop_E31,Default file system [hdfs://<*>:<*>],Hadoop,O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,Hadoop_E37,Emitting job history data to the timeline server is not enabled,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Hadoop_E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
20,2015-10-18,"18:01:51,197",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,Hadoop_E63,loaded properties from hadoop-metrics2.properties,Hadoop,O O O O O O O OID O O O O O O,1,0,0,0,0,0,0,0,0,0
21,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,Hadoop_E92,Scheduled snapshot period at <*> second(s).,Hadoop,O O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
22,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,Hadoop_E69,MRAppMaster metrics system started,Hadoop,O O O O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
23,2015-10-18,"18:01:51,322",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,Hadoop_E7,Adding job token for <*> to jobTokenSecretManager,Hadoop,O O O O O O O O O O O OID O O O O O O O O O LOI O LOI O O O O O O O O O O O O O O O O O O,1,2,0,0,0,0,0,0,0,0
24,2015-10-18,"18:01:51,619",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,Hadoop_E71,Not uberizing <*> because: not enabled; too many maps; too much input;,Hadoop,O O O O O O O O CRS CRS,0,0,0,0,0,0,2,0,0,0
25,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,Hadoop_E48,Input size for job <*> = <*>. Number of splits = <*>,Hadoop,O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
26,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445144423722_0020 = 1,Hadoop_E73,Number of reduces for job <*> = <*>,Hadoop,O O O O O O O O LOI O O,0,1,0,0,0,0,0,0,0,0
27,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from NEW to INITED,Hadoop_E55,<*> Transitioned from NEW to INITED,Hadoop,O O O O O O O O O O O O TDA O O O O O,0,0,0,0,0,1,0,0,0,0
28,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",Hadoop_E68,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",Hadoop,O O O O O O O O O LOI O LOI,0,2,0,0,0,0,0,0,0,0
31,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Hadoop_E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
32,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.mapreduce.v2.app.client.MRClientService,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,Hadoop_E49,Instantiated MRClientService at MININT-<*>/<*>:<*>,Hadoop,O O O O O O O LOI O O LOI,0,2,0,0,0,0,0,0,0,0
35,2015-10-18,"18:01:51,885",INFO,main,org.mortbay.log,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Hadoop_E64,Logging to <*>(org.mortbay.log) via <*>,Hadoop,O O O O O O O O O O O O O OID O O TDA,1,0,0,0,0,1,0,0,0,0
