LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Linux_E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937.0,check pass; user unknown,Linux_E27,check pass; user unknown,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Linux_E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,Linux,O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
14,Jun,15,04:06:18,combo,su(pam_unix),21416.0,session opened for user cyrus by (uid=0),Linux_E102,session opened for user <*> by (uid=<*>),Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
15,Jun,15,04:06:19,combo,su(pam_unix),21416.0,session closed for user cyrus,Linux_E101,session closed for user <*>,Linux,O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],Linux_E8,ALERT exited abnormally with [<*>],Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
83,Jun,17,07:07:00,combo,ftpd,29504.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,Linux_E29,connection from <*> (<*>) at <*>:<*>:<*>,Linux,O O O O O LOI O,0,1,0,0,0,0,0,0,0,0
91,Jun,17,19:43:13,combo,sshd(pam_unix),30565.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,Linux_E17,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=guest,Linux,O O O O O O O O O OBN,0,0,1,0,0,0,0,0,0,0
136,Jun,18,02:23:10,combo,ftpd,31277.0,User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,Linux_E112,User unknown timed out after <*> seconds at <*>:<*>:<*> <*>,Linux,O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
144,Jun,19,04:08:57,combo,cups,,cupsd shutdown succeeded,Linux_E37,cupsd shutdown succeeded,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
145,Jun,19,04:09:02,combo,cups,,cupsd startup succeeded,Linux_E38,cupsd startup succeeded,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
146,Jun,19,04:09:11,combo,syslogd 1.4.1,,restart.,Linux_E90,restart.,Linux,O O O O O O O O O O O O LOI O,0,1,0,0,0,0,0,0,0,0
167,Jun,20,04:44:39,combo,snmpd,2318.0,Received SNMP packet(s) from 67.170.148.126,Linux_E88,Received SNMP packet(s) from <*>,Linux,O O O O O O O O O O O O LOI O,0,1,0,0,0,0,0,0,0,0
539,Jun,30,20:53:04,combo,klogind,19272.0,Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code,Linux_E13,Authentication failed from <*> (<*>): Permission denied in replay cache code,Linux,O O O O O O O O O O O O LOI O,0,1,0,0,0,0,0,0,0,0
540,Jun,30,20:53:04,combo,klogind,19272.0,Kerberos authentication failed,Linux_E61,Kerberos authentication failed,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
553,Jun,30,20:53:04,combo,klogind,19274.0,Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,Linux_E14,Authentication failed from <*> (<*>): Software caused connection abort,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
896,Jul,7,08:06:12,combo,gpm,2094.0,*** info [mice.c(1766)]:,Linux_E1,*** info [mice.c(<*>)]:,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
897,Jul,7,08:06:12,combo,gpm,2094.0,imps2: Auto-detected intellimouse PS/2,Linux_E51,imps2: Auto-detected intellimouse PS/<*>,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
898,Jul,7,08:06:15,combo,login(pam_unix),2421.0,session opened for user root by LOGIN(uid=0),Linux_E103,session opened for user <*> by LOGIN(uid=<*>),Linux,O O O O O O O O O O O O LOI O,0,1,0,0,0,0,0,0,0,0
899,Jul,7,08:06:15,combo,-- root,2421.0,ROOT LOGIN ON tty2,Linux_E91,<*> LOGIN ON tty2,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
901,Jul,7,08:09:11,combo,udev,12754.0,removing device node '/udev/vcsa2',Linux_E89,removing device node '<*>',Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
903,Jul,7,08:09:11,combo,udev,12777.0,creating device node '/udev/vcs2',Linux_E36,creating device node '<*>',Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
953,Jul,8,20:14:55,combo,sshd(pam_unix),20963.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test,Linux_E19,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=test,Linux,O O O O O O O O O O O O LOI O,0,1,0,0,0,0,0,0,0,0
1242,Jul,11,11:33:13,combo,gdm(pam_unix),2803.0,authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,Linux_E15,authentication failure; logname= uid=<*> euid=<*> tty=:<*> ruser= rhost=,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
1243,Jul,11,11:33:17,combo,gdm-binary,2803.0,Couldn't authenticate user,Linux_E31,Couldn't authenticate user,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
1748,Jul,24,02:38:23,combo,ftpd,16781.0,"ANONYMOUS FTP LOGIN FROM 84.102.20.2,  (anonymous)",Linux_E9,"ANONYMOUS FTP LOGIN FROM <*>, (anonymous)",Linux,O O O O O O O O O O O O LOI O,0,1,0,0,0,0,0,0,0,0
1810,Jul,25,12:09:06,combo,named,2306.0,notify question section contains no SOA,Linux_E75,notify question section contains no SOA,Linux,O O O O O O O O O CRS O O O CRS,0,0,0,0,0,0,2,0,0,0
1826,Jul,25,23:23:13,combo,ftpd,26463.0,getpeername (ftpd): Transport endpoint is not connected,Linux_E47,getpeername (ftpd): Transport endpoint is not connected,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
1828,Jul,25,23:23:13,combo,xinetd,26482.0,warning: can't get client address: Connection reset by peer,Linux_E116,warning: can't get client address: Connection reset by peer,Linux,O O O O O O O LOI LOI O TDA TDA TDA TDA TDA,0,2,0,0,0,5,0,0,0,0
1909,Jul,27,14:41:57,combo,syslog,,syslogd startup succeeded,Linux_E106,syslogd startup succeeded,Linux,O O O O O O O O LOI LOI O O O O,0,2,0,0,0,0,0,0,0,0
