LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,Mac_E252,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,Mac,O O O O O O O O STC O O O STC,0,0,0,0,0,0,0,0,2,0
2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,Mac_E323,Thermal pressure state: <*> Memory pressure state: <*>,Mac,O O O O O O OID O O O OBA O OBA O OBA,1,0,0,0,0,0,0,3,0,0
3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,FA||Url||taskID[2019352994] dealloc,Mac_E216,FA||Url||taskID[<*>] dealloc,Mac,O O O O O LOI O O O O LOI O O O O O O,0,2,0,0,0,0,0,0,0,0
4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],Mac_E128,ARPT: <*>: <*>::syncPowerState: WWEN[enabled],Mac,O O O O O O OBA LOI O OBA,0,1,0,0,0,0,0,2,0,0
5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],Mac_E124,ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],Mac,O O O O O O O O LOI O LOI O LOI,0,3,0,0,0,0,0,0,0,0
6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),Mac_E260,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),Mac,O O O O O O O O O O OID O O STC,1,0,0,0,0,0,0,0,1,0
7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",Mac_E135,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",Mac,O O O O O O O O O O O STC O O O O,0,0,0,0,0,0,0,0,1,0
8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",Mac_E149,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",Mac,O O O O O O OID O O OBA O O OBA O O,1,0,0,0,0,0,0,2,0,0
9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,Mac_E131,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,Mac,O O O O O O LOI O O O O O O O O O O O O O O TDA O,0,1,0,0,0,1,0,0,0,0
10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,Mac_E50,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,Mac,O O O O O O O O O O O LOI O O LOI,0,2,0,0,0,0,0,0,0,0
11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,Mac_E58,<*>::setAwdlAutoMode Resuming AWDL,Mac,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",Mac_E140,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",Mac,O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,Mac_E120,AppleCamIn::systemWakeCall - messageType = <*>,Mac,O O O O O O O O O O OID SID,1,0,0,0,1,0,0,0,0,0
15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"setting hostname to ""authorMacBook-Pro.local""",Mac_E311,"setting hostname to ""<*>""",Mac,O O O O O O LOI O O O O O O O O O O O O O O TDA O,0,1,0,0,0,1,0,0,0,0
16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",Mac_E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Mac,O O O O O O LOI O O O O O O O O O O O O O O TDA O,0,1,0,0,0,1,0,0,0,0
17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,Mac_E175,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,Mac,O O O O O O LOI O O O O O O O O O O O O O O TDA O,0,1,0,0,0,1,0,0,0,0
18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,Mac_E13,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,Mac,O O O O O LOI O O STC O O O O LOI O LOI,0,3,0,0,0,0,0,0,1,0
21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,Mac_E109,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,Mac,O O O O O O O O STC O O O STC,0,0,0,0,0,0,0,0,2,0
23,Jul,1,09:24:13,calvisitor-10-105-160-95,kernel,0,,"PM response took 2010 ms (54, powerd)",Mac_E288,"PM response took <*> ms (<*>, powerd)",Mac,O O O O O O O O O O TDA O,0,0,0,0,0,1,0,0,0,0
25,Jul,1,09:25:45,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",Mac_E143,"ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>:<*>:<*>:<*>, last RSSI <*>",Mac,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
28,Jul,1,09:26:43,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,Mac_E276,<*> successfully changed NAT64 ifstate from <*> to <*>,Mac,O O O O O O O O O O O OBA,0,0,0,0,0,0,0,1,0,0
31,Jul,1,09:27:06,calvisitor-10-105-160-95,kernel,0,,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",Mac_E61,"<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",Mac,O O O O O O,0,0,0,0,0,0,0,0,0,0
32,Jul,1,09:28:41,authorMacBook-Pro,netbiosd,31198,,"network_reachability_changed : network is not reachable, netbiosd is shutting down",Mac_E272,"network_reachability_changed : network is not reachable, netbiosd is shutting down",Mac,O O O O O O OID O O OBA O O OBA O O,1,0,0,0,0,0,0,2,0,0
33,Jul,1,09:28:41,authorMacBook-Pro,corecaptured,31206,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,Mac_E173,CCFile::captureLogRun() Exiting CCFile::captureLogRun,Mac,O O O O O O OID O O O O O O O O O TDA,1,0,0,0,0,1,0,0,0,0
36,Jul,1,09:29:02,calvisitor-10-105-160-95,sandboxd,129,[31211],com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,Mac_E52,<*>(<*>) deny network-outbound <*>,Mac,O O O O O O STC O O STC O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,2,0
38,Jul,1,09:29:25,calvisitor-10-105-160-95,kernel,0,,ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,Mac_E142,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,Mac,O O O O O OID O,1,0,0,0,0,0,0,0,0,0
39,Jul,1,09:31:48,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,Mac_E112,AirPort: Link Up on en0,Mac,O O O O O O O OID O O O O O O O O O O O,1,0,0,0,0,0,0,0,0,0
42,Jul,1,09:32:13,calvisitor-10-105-160-95,kernel,0,,Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,Mac_E300,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,Mac,O O O O O O O O O O O STC O,0,0,0,0,0,0,0,0,1,0
44,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],Mac_E125,ARPT: <*>: <*>::platformWoWEnable: WWEN[enable],Mac,O O O O O O OID O O O O LOI O O LOI,1,2,0,0,0,0,0,0,0,0
45,Jul,1,09:33:13,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Up on awdl0,Mac_E111,AirPort: Link Up on awdl0,Mac,O O O O O OID O,1,0,0,0,0,0,0,0,0,0
48,Jul,1,09:34:42,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,Mac_E122,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,Mac,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
50,Jul,1,09:35:27,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),Mac_E261,mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),Mac,O O O O O O O O O O O OBN OID LOI,1,1,1,0,0,0,0,0,0,0
51,Jul,1,09:36:19,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,Mac_E55,<*>::<*> - retries = <*>,Mac,O O O O O O O O O O O O O O OID,1,0,0,0,0,0,0,0,0,0
