LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
140,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:59.733,2931,INFO,nova.compute.manager,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.,OpenStack_E38,Running instance usage audit for host <*> from <*>-<*>-<*> <*>:<*>:<*> to <*>-<*>-<*> <*>:<*>:<*>. <*> instances.,OpenStack,O O O O O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
394,nova-scheduler.log.1.2017-05-16_13:53:08,2017-05-16,00:02:58.484,25998,INFO,nova.scheduler.host_manager,req-53427a68-ae6f-4b07-aace-853b0890e9b3 - - - - -,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,OpenStack_E39,Successfully synced instances from host '<*>'.,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1297,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:09:41.850,2931,WARNING,nova.compute.manager,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",OpenStack_E43,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",OpenStack,O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1762,nova-scheduler.log.1.2017-05-16_13:53:08,2017-05-16,00:13:09.162,25998,INFO,nova.scheduler.host_manager,req-c34edf86-25ac-4c79-ab19-9ea9caa4eddf - - - - -,The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,OpenStack_E40,The instance sync for host '<*>' did not match. Re-created its InstanceList.,OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1902,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:06.453,2931,INFO,nova.virt.libvirt.driver,req-08d50ea8-a6d0-474a-aaea-560407ef2dec 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Deleting instance files /var/lib/nova/instances/c62f4f25-982c-4ea2-b5e4-93000edfcfbf_del,OpenStack_E4,[instance: <*>] Deleting instance files <*>,OpenStack,O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1903,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:06.455,2931,INFO,nova.virt.libvirt.driver,req-08d50ea8-a6d0-474a-aaea-560407ef2dec 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Deletion of /var/lib/nova/instances/c62f4f25-982c-4ea2-b5e4-93000edfcfbf_del complete,OpenStack_E5,[instance: <*>] Deletion of <*> complete,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1904,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:06.582,2931,INFO,nova.compute.manager,req-08d50ea8-a6d0-474a-aaea-560407ef2dec 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Took 1.02 seconds to destroy the instance on the hypervisor.,OpenStack_E14,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,OpenStack,O O O O O O O O O O O O O OID O O O O O O O O O O,1,0,0,0,0,0,0,0,0,0
1906,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:07.161,2931,INFO,nova.compute.manager,req-08d50ea8-a6d0-474a-aaea-560407ef2dec 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: c62f4f25-982c-4ea2-b5e4-93000edfcfbf] Took 0.58 seconds to deallocate network for instance.,OpenStack_E13,[instance: <*>] Took <*> seconds to deallocate network for instance.,OpenStack,O O O O O O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1908,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:14:09.186,25746,INFO,nova.api.openstack.wsgi,req-8a5b19ff-20d8-40e7-94d3-29b89f9b6987 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,HTTP exception thrown: No instances found for any event,OpenStack_E33,HTTP exception thrown: No instances found for any event,OpenStack,O O O O O O O O O O O O O OID O O O LOI,1,1,0,0,0,0,0,0,0,0
1912,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:10.139,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Base or swap file too young to remove: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E29,Base or swap file too young to remove: <*>,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1913,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:15.167,2931,WARNING,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Unknown base file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E42,Unknown base file: <*>,OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1914,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:15.168,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removable base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E36,Removable base files: <*>,OpenStack,O O O O O O O O O O O O O OID O O O O,1,0,0,0,0,0,0,0,0,0
1915,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:15.169,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Removing base or swap file: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,OpenStack_E37,Removing base or swap file: <*>,OpenStack,O O O O O O O O O O O O O O OID O O OID,2,0,0,0,0,0,0,0,0,0
1918,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.993,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",OpenStack_E1,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1919,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.995,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total memory: 64172 MB, used: 512.00 MB",OpenStack_E17,"[instance: <*>] Total memory: <*> MB, used: <*> MB",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1920,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.996,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] memory limit: 96258.00 MB, free: 95746.00 MB",OpenStack_E10,"[instance: <*>] memory limit: <*> MB, free: <*> MB",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
1921,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:14:18.996,2931,INFO,nova.compute.claims,req-3d26bc3d-373c-4269-b095-004aab7a9785 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: faf974ea-cba5-4e1b-93f4-3a3bc606006f] Total disk: 15 GB, used: 0.00 GB",OpenStack_E16,"[instance: <*>] Total disk: <*> GB, used: <*> GB",OpenStack,O O O O O O O O O O O O LOI O LOI OBN O STC O OBA O TDA,0,2,1,0,0,1,0,1,1,0
