LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate,System,VariableTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
506,2015-07-29,"23:44:28,903",ERROR,CommitProcessor,1:NIOServerCnxn,180,Unexpected Exception:,Zookeeper_E50,Unexpected Exception:,Zookeeper,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
581,2015-07-31,"15:31:40,971",INFO,Thread-1,QuorumCnxManager$Listener,486,My election bind port: 0.0.0.0/0.0.0.0:3888,Zookeeper_E29,My election bind port: <*>/<*>:<*>,Zookeeper,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
582,2015-07-31,"15:31:40,999",INFO,WorkerSender[myid=1],QuorumCnxManager,190,"Have smaller server identifier, so dropping the connection: (2, 1)",Zookeeper_E23,"Have smaller server identifier, so dropping the connection: (<*>, <*>)",Zookeeper,O O O O O O O O O O O LOI O O O O O,0,1,0,0,0,0,0,0,0,0
586,2015-07-31,"19:30:07,403",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,740,"New election. My id =  1, proposed zxid=0x700000000",Zookeeper_E30,"New election. My id = <*>, proposed zxid=<*>",Zookeeper,O O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
598,2015-08-07,"07:27:47,425",INFO,WorkerReceiver[myid=1],FastLeaderElection,542,"Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), LEADING (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state)",Zookeeper_E34,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",Zookeeper,O O O O O O O O O O OBA O O O LOI,0,1,0,0,0,0,0,1,0,0
599,2015-08-07,"07:27:47,650",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:Follower,63,FOLLOWING - LEADER ELECTION TOOK - 238,Zookeeper_E19,FOLLOWING - LEADER ELECTION TOOK - <*>,Zookeeper,O O O O O O O O O O O O OID,1,0,0,0,0,0,0,0,0,0
608,2015-08-10,"18:23:49,901",INFO,main,DatadirCleanupManager,78,autopurge.snapRetainCount set to 3,Zookeeper_E4,autopurge.snapRetainCount set to <*>,Zookeeper,O O O O O O O O O O O O OID,1,0,0,0,0,0,0,0,0,0
626,2015-08-20,"17:14:23,824",INFO,WorkerReceiver[myid=1],FastLeaderElection,542,"Notification: 3 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0xb (n.peerEPoch), FOLLOWING (my state)",Zookeeper_E35,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",Zookeeper,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
638,2015-08-24,"15:26:54,494",INFO,main,QuorumPeer,913,tickTime set to 2000,Zookeeper_E48,tickTime set to <*>,Zookeeper,O O O O O O O O O O O O O,0,0,0,0,0,0,0,0,0,0
750,2015-08-25,"10:50:16,211",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,774,Notification time out: 60000,Zookeeper_E31,Notification time out: <*>,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
783,2015-07-29,"19:21:16,835",WARN,LearnerHandler-/10.10.34.13,57653:LearnerHandler,575,******* GOODBYE /10.10.34.13:57653 ********,Zookeeper_E1,******* GOODBYE <*>:<*> ********,Zookeeper,O O O O O O O O O TDA,0,0,0,0,0,1,0,0,0,0
784,2015-07-29,"19:21:26,625",ERROR,LearnerHandler-/10.10.34.11,52855:LearnerHandler,562,Unexpected exception causing shutdown while sock still open,Zookeeper_E49,Unexpected exception causing shutdown while sock still open,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1258,2015-07-29,"19:37:27,222",INFO,ProcessThread(sid,2 cport:-1)::PrepRequestProcessor,627,Got user-level KeeperException when processing sessionid:0x34ed93485090001 type:create cxid:0x55b8bb0f zxid:0x100000010 txntype:-1 reqpath:n/a Error Path:/home/curi/.zookeeper Error:KeeperErrorCode = NodeExists for /home/curi/.zookeeper,Zookeeper_E21,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:KeeperErrorCode = NodeExists for <*>,Zookeeper,O O O O O O O O,0,0,0,0,0,0,0,0,0,0
1349,2015-07-30,"23:46:27,304",INFO,main,QuorumPeerMain,127,Starting quorum peer,Zookeeper_E47,Starting quorum peer,Zookeeper,O O O O O O O O O LOI,0,1,0,0,0,0,0,0,0,0
1379,2015-07-31,"15:36:21,074",INFO,QuorumPeer[myid=2]/0,0:0:0:0:0:0:0:2181:FileTxnSnapLog,240,Snapshotting: 0x50000062e to /var/lib/zookeeper/version-2/snapshot.50000062e,Zookeeper_E46,Snapshotting: <*> to <*>,Zookeeper,O O O O O O O O O O OID O O O OID O O,2,0,0,0,0,0,0,0,0,0
