System,EventTemplate,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP
Apache,workerEnv.init() ok <*>,0,1,0,0,0,0,0,0,0,0
Apache,mod_jk child workerEnv in error state <*>,2,0,0,0,0,0,0,0,0,0
Apache,jk2_init() Found child <*> in scoreboard slot <*>,0,0,0,0,0,0,0,0,1,0
Apache,[client <*>] Directory index forbidden by rule: <*>,2,0,0,0,0,0,0,0,0,0
Apache,jk2_init() Can't find child <*> in scoreboard,2,0,0,0,0,0,0,0,0,0
Apache,mod_jk child init <*> <*>,0,1,0,0,0,0,0,0,0,0
HPC,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,0,0,0,0,0,0,0,0,0,0
HPC,running,0,0,0,0,0,0,0,0,0,0
HPC,blocked,0,0,0,0,0,0,0,0,0,0
HPC,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0,0,0,0,0,0,0,0,0,0,0
HPC,warning,0,0,0,0,0,0,0,0,0,0
HPC,Failed subcommands <*>,0,0,0,0,0,0,0,0,0,0
HPC,boot (command <*>),0,0,0,0,0,0,0,0,1,0
HPC,ClusterFileSystem: There is no server for ServerFileSystem domain <*>,0,0,0,0,0,0,0,0,0,0
Linux,Using tsc for high-res timesource,0,2,0,0,0,5,0,0,0,0
Linux,Starting pcmcia: succeeded,0,1,0,0,0,0,0,0,0,0
Linux,session closed for user <*>,0,0,0,0,0,0,0,0,0,0
Linux,ACPI disabled because your bios is from <*> and too old,0,1,0,0,0,0,0,0,0,0
Linux,notify question section contains no SOA,0,0,0,0,0,0,2,0,0,0
Linux,Real Time Clock Driver <*>,0,1,0,0,0,0,0,0,0,0
Linux,"Dentry cache hash table entries: <*> (order: <*>, <*> bytes)",0,0,0,0,0,0,0,0,0,0
Linux,cupsd startup succeeded,0,2,0,0,0,5,0,0,0,0
Proxifier,"<*> close, <*> <*>, <*> <*>, lifetime <*>",0,1,0,0,0,1,4,0,0,0
Proxifier,"<*>:<*> error : Could not connect through proxy <*>:<*> - Proxy server cannot establish a connection with the target, status code <*>",0,1,0,0,0,1,4,0,0,0
Proxifier,<*>:<*> open through proxy <*>:<*> HTTPS,0,1,0,0,0,1,4,0,0,0
Proxifier,<*>:<*> error : Could not connect to proxy <*>:<*> - connection attempt failed with error <*>,0,1,0,0,0,1,4,0,0,0
