Index,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP,Class
1,1,0,0,0,0,0,0,0,1,0,1
2,0,0,0,0,0,0,0,0,1,0,1
3,0,0,1,1,0,0,0,0,1,0,1
4,1,1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,Normal
6,0,0,0,0,0,0,0,0,0,0,0
7,1,0,1,0,0,0,0,0,1,0,1
8,2,1,0,0,0,0,0,0,1,0,0
9,1,1,0,1,1,1,0,0,0,1,0
10,1,0,0,1,0,1,0,0,0,1,0
11,1,1,0,1,1,1,1,1,1,1,1
12,1,0,1,1,0,1,0,0,0,1,0
13,2,0,0,1,0,0,0,0,1,0,1
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0
16,2,2,0,1,0,0,0,0,0,1,1
17,1,1,0,0,0,0,0,0,1,0,1
18,2,0,1,1,1,0,0,1,3,0,1
19,1,1,1,0,0,0,0,0,1,0,1
20,0,0,0,0,0,0,0,0,0,0,Normal
21,0,0,0,0,0,0,0,0,0,0,0
22,1,1,1,1,1,0,1,1,0,0,0
23,1,1,1,1,1,0,0,1,1,0,1
24,1,0,0,0,0,0,0,0,1,0,1
25,1,1,0,0,0,0,0,0,1,0,1
26,0,0,0,0,0,0,0,0,0,0,Normal
27,1,1,1,0,0,0,0,0,1,0,1
28,1,1,0,0,0,0,0,0,1,0,1
29,0,0,0,0,0,0,0,0,0,0,1
30,1,1,0,1,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,1,0,1
32,1,1,0,0,1,0,0,0,1,0,1
33,4,0,0,0,0,0,0,0,1,0,1
34,1,0,0,0,0,0,0,0,1,0,1
35,1,1,0,0,0,0,0,0,1,0,1
36,1,1,0,0,0,0,0,0,1,0,1
37,0,0,0,0,0,0,0,0,0,0,0
38,1,1,0,0,0,0,0,0,1,0,1
39,1,1,0,0,0,0,0,0,1,0,1
40,0,0,0,0,0,0,0,0,0,0,0
41,1,1,1,0,0,0,0,0,1,0,1
42,0,0,0,0,0,0,0,0,0,0,1
43,2,1,0,0,0,0,0,0,1,0,0
44,1,1,0,0,0,0,0,0,1,0,1
45,1,1,0,0,0,0,0,0,1,0,1
46,1,1,0,0,0,0,0,0,1,0,1
47,0,0,0,0,0,0,0,0,1,0,1
48,1,1,0,0,0,0,0,0,1,0,1
49,1,1,0,0,0,0,0,0,1,0,1
50,0,0,0,0,0,0,0,0,0,0,0
51,1,1,0,1,0,0,0,0,0,0,0
52,1,1,0,1,0,0,0,0,0,0,0
53,0,0,0,0,0,1,0,0,1,0,1
54,0,0,0,0,0,0,0,0,0,0,0
55,0,1,0,0,0,0,0,0,1,0,1
56,1,1,0,0,0,0,0,0,1,0,1
57,1,1,0,0,0,0,0,0,1,0,1
58,0,0,0,0,0,0,0,0,1,0,1
59,1,0,0,1,0,0,0,0,1,0,1
60,1,0,0,1,1,1,1,1,1,0,0
61,1,0,0,1,0,0,0,0,1,0,0
62,1,1,1,1,0,0,0,0,0,0,0
63,1,1,0,0,0,0,0,0,1,0,1
64,0,0,1,1,0,0,0,0,0,0,0
65,1,1,0,0,0,0,0,0,1,0,1
66,0,0,0,0,0,0,0,0,1,0,1
67,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,1,0,0,0,0,1,0,1
69,1,1,0,0,0,0,0,0,1,0,1
70,0,0,0,0,0,0,0,0,0,0,1
71,0,0,0,1,0,0,0,0,1,0,0
72,1,0,0,0,0,0,0,0,1,0,0
73,1,0,1,0,0,0,0,0,1,0,1
74,0,1,0,0,0,0,0,0,1,0,1
75,0,0,0,0,0,0,0,0,1,0,1
76,0,0,0,0,0,0,0,0,0,0,Normal
77,1,0,0,0,0,0,0,0,1,0,1
78,1,0,0,1,0,0,0,0,1,0,0
79,1,1,0,0,0,0,0,0,1,0,0
80,1,1,0,0,0,0,0,0,1,0,0
81,0,0,0,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,0,0,0,1
84,1,0,0,1,0,0,0,0,1,0,0
85,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,1,0,1
88,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,1,0,1,1,1
90,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,1
92,1,1,0,0,0,0,0,1,0,0,0
93,1,0,0,0,0,1,1,0,0,0,0
94,1,0,0,0,0,0,1,1,0,0,0
95,0,0,0,1,0,0,0,0,1,0,1
96,0,1,0,0,0,0,0,0,1,0,0
97,0,0,0,0,0,0,0,0,0,0,0
98,1,1,0,0,0,0,0,0,1,0,1
99,0,0,0,0,0,0,0,0,0,1,1
100,0,0,0,0,0,0,0,0,0,0,1
101,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0
103,1,0,0,1,0,0,0,0,0,0,1
104,2,0,0,0,0,0,0,0,1,0,1
105,0,0,0,0,0,0,0,0,1,0,0
106,1,0,0,0,0,0,1,0,1,0,0
107,0,0,0,0,0,0,1,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,2,0,1,0,0,0,0,0
110,0,0,0,0,0,0,0,0,1,0,0
111,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,1,0,0,0,1
113,0,0,0,1,0,1,1,0,0,0,1
114,1,0,0,1,0,0,0,0,1,0,1
115,0,0,0,0,0,0,0,0,0,0,1
116,0,0,0,0,0,0,0,0,0,0,0
117,1,0,0,0,0,0,0,0,1,0,1
118,0,0,0,0,0,0,0,0,0,0,Normal
119,0,0,0,1,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1,0,0
121,0,0,0,1,0,0,0,0,1,0,0
122,1,0,0,0,0,0,1,0,1,0,0
123,1,0,0,0,0,0,1,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,1,2,1,0,0
126,1,0,0,0,0,0,1,0,1,0,0
127,0,0,0,0,0,0,0,0,1,0,0
128,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,1,0,1,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,2,0,0,0,0,1,0,1
133,0,0,0,1,0,0,0,0,1,0,0
134,0,0,0,0,0,0,0,0,1,0,0
135,2,0,0,2,0,0,0,0,0,0,0
136,1,1,0,1,1,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,1,0,0,0,0,0,0,0
139,1,1,0,1,0,0,0,0,1,0,0
140,0,0,0,0,0,0,0,0,1,0,1
141,1,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,1,0,0
143,0,0,1,1,0,0,0,0,1,0,0
144,0,0,1,1,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,1
147,0,0,0,0,0,0,0,0,0,0,Normal
148,0,1,0,1,0,0,0,0,1,0,0
149,1,0,0,0,1,0,0,0,0,0,0
150,1,1,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,1
152,1,0,0,0,0,0,0,0,1,0,1
153,0,0,0,0,0,0,0,0,0,0,1
154,1,0,0,1,0,0,0,0,1,0,0
155,0,0,0,0,0,0,0,0,1,0,0
156,1,0,0,0,0,0,0,0,1,0,0
157,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0
159,1,0,0,1,0,0,0,0,1,0,0
160,0,0,0,0,0,0,0,0,1,0,1
161,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,1
163,1,0,0,0,0,0,1,0,1,0,0
164,0,0,0,1,0,0,0,0,1,0,0
165,1,0,0,1,0,0,0,0,1,0,0
166,0,0,0,1,0,0,0,0,1,0,1
167,0,0,0,2,0,0,0,0,0,0,0
168,0,0,0,1,0,0,0,0,0,2,1
169,1,0,1,1,0,0,0,0,1,0,0
170,1,0,0,1,0,0,0,0,1,0,0
171,0,1,0,1,0,0,0,0,1,0,1
172,2,1,0,0,0,0,0,0,1,0,1
173,0,1,0,0,0,0,0,0,1,0,1
174,0,0,0,0,0,0,0,0,0,0,Normal
175,0,0,0,1,0,0,0,0,1,0,1
176,0,0,0,0,0,0,0,0,1,0,1
177,1,1,1,1,0,0,0,0,0,0,0
178,0,0,0,1,0,1,0,0,1,0,1
179,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0
181,2,1,0,0,0,0,0,0,1,0,1
182,1,0,0,1,0,0,0,0,1,0,0
183,2,0,0,1,0,0,0,0,1,0,1
184,2,1,0,1,0,1,0,0,0,0,1
185,0,0,0,0,0,0,0,0,0,0,0
186,1,1,0,1,0,0,0,0,1,0,0
187,0,0,0,1,0,0,0,0,1,0,1
188,1,0,0,1,0,1,0,0,1,0,1
189,1,1,0,0,0,0,0,0,1,0,1
190,0,0,0,0,0,0,0,0,1,0,1
191,1,1,0,0,0,0,0,0,1,0,1
192,0,0,0,1,0,0,0,0,1,0,0
193,1,1,1,1,0,0,1,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,Normal
195,1,0,0,0,0,0,0,0,0,0,0
196,0,0,0,1,0,0,1,0,0,0,0
197,1,1,0,0,0,0,0,0,1,0,0
198,1,1,0,0,0,0,0,0,1,0,0
199,1,0,0,1,0,0,0,0,1,0,0
200,2,1,0,0,0,0,0,0,1,0,1
201,1,0,0,1,0,0,0,0,1,0,0
