Index,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP,Class
1,0,0,0,0,0,0,0,0,1,1,1
2,0,0,0,0,0,0,0,0,1,0,1
3,0,0,0,0,0,0,0,0,1,1,1
4,1,1,0,0,0,0,0,0,0,0,0
5,0,0,1,0,1,1,0,0,0,0,0
6,0,0,1,0,0,0,0,0,1,0,1
7,0,0,0,1,0,0,0,0,1,1,1
8,1,0,0,1,0,0,0,0,1,0,1
9,1,0,0,1,0,0,0,0,1,0,0
10,1,0,0,1,1,1,0,0,0,1,0
11,0,0,1,1,0,0,0,0,0,0,0
12,1,0,0,1,0,0,0,0,1,1,0
13,1,0,0,1,0,1,0,0,1,2,0
14,0,0,0,0,0,1,0,0,1,1,0
15,1,0,1,3,0,0,0,0,2,0,0
16,1,0,1,1,0,0,0,0,1,0,0
17,1,0,1,1,1,0,0,0,1,1,1
18,1,0,1,1,1,0,0,0,1,2,1
19,1,0,1,1,0,0,0,0,1,0,1
20,1,0,0,1,0,0,0,0,1,0,1
21,0,0,0,0,0,0,0,0,1,0,1
22,1,0,1,0,1,1,0,0,1,5,0
23,1,0,1,0,2,0,0,0,2,0,1
24,1,0,0,1,1,0,0,0,1,0,1
25,0,0,0,0,1,0,0,0,1,0,1
26,1,0,0,1,1,1,0,0,0,2,1
27,1,0,1,1,0,0,0,0,1,0,0
28,1,0,1,0,1,1,1,0,1,0,1
29,0,0,1,0,0,0,0,0,1,0,1
30,1,0,0,0,0,0,0,0,1,0,0
31,1,0,0,1,1,0,0,0,0,0,1
32,1,0,1,0,1,0,0,0,1,0,0
33,1,0,0,0,5,0,0,0,5,0,1
34,1,0,0,1,0,0,0,1,1,0,1
35,1,0,0,0,0,0,0,0,1,3,1
36,1,0,0,0,1,0,0,0,1,0,0
37,1,0,0,0,1,1,0,0,1,0,0
38,0,0,0,0,0,1,0,0,1,0,0
39,1,1,0,1,0,0,0,0,1,0,0
40,0,0,1,1,0,0,0,0,1,0,1
41,1,0,1,1,0,0,0,0,1,0,1
42,0,0,0,0,1,0,0,0,1,0,1
43,0,0,0,0,1,0,0,0,1,0,0
44,1,0,0,0,1,0,0,0,1,0,1
45,0,0,1,0,1,1,0,0,1,0,1
46,0,0,0,0,0,0,0,0,1,5,1
47,0,0,0,0,0,0,0,0,1,4,1
48,1,0,0,0,1,0,0,0,1,0,1
49,0,0,1,1,1,0,0,0,2,0,1
50,1,0,0,1,0,0,0,0,0,0,0
51,1,0,1,1,0,0,0,0,0,0,0
52,1,1,0,1,0,0,0,0,0,1,1
53,0,0,0,0,1,1,0,0,0,0,1
54,0,0,0,0,1,0,1,0,0,0,0
55,0,0,0,0,0,0,0,0,1,5,1
56,0,0,0,0,0,0,0,0,1,1,1
57,0,1,0,0,0,0,0,0,1,0,1
58,0,0,0,1,0,0,0,0,1,0,1
59,0,1,1,0,0,0,0,0,1,0,0
60,0,0,1,1,0,0,0,0,0,0,0
61,0,0,1,0,0,0,0,0,1,0,0
62,0,0,1,0,0,1,0,0,1,0,0
63,1,1,0,0,0,0,0,0,1,0,0
