Index,OID,LOI,OBN,TID,SID,TDA,CRS,OBA,STC,OTP,Class
1,1,0,0,0,0,0,0,0,1,1,1
2,1,0,0,1,0,0,0,0,1,0,1
3,1,1,0,1,0,0,0,0,1,0,1
4,1,1,0,0,0,0,0,0,0,0,0
5,0,1,0,1,0,0,0,0,0,1,0
6,0,1,0,1,0,0,0,0,1,0,1
7,0,0,1,1,1,0,1,0,1,0,1
8,1,1,0,1,0,0,0,0,1,1,1
9,2,1,0,1,0,0,0,0,1,0,1
10,2,0,0,1,0,0,0,0,0,1,1
11,1,0,1,1,0,0,0,0,0,1,0
12,1,0,1,1,0,0,0,0,0,1,1
13,1,0,0,1,0,0,0,0,1,0,1
14,1,0,0,1,0,0,0,0,1,0,0
15,2,1,1,1,0,0,0,0,0,1,0
16,2,2,2,1,0,0,0,0,0,0,0
17,2,1,0,1,0,0,0,0,1,0,1
18,1,0,1,1,1,1,0,0,1,0,1
19,1,0,1,1,1,0,0,0,0,1,1
20,1,1,0,1,0,0,0,0,1,0,1
21,1,0,0,1,0,0,1,0,1,0,1
22,1,1,1,1,1,0,0,1,0,1,1
23,1,1,1,1,1,0,0,0,0,1,1
24,0,0,0,1,0,0,0,0,1,0,1
25,1,1,0,1,1,0,0,0,1,0,1
26,2,1,0,1,1,0,0,0,0,0,1
27,1,1,0,1,0,0,0,0,1,0,1
28,2,1,0,1,1,0,0,0,0,0,1
29,1,0,0,1,0,0,0,0,1,0,1
30,1,0,0,1,0,0,0,0,0,0,1
31,1,0,0,1,0,0,0,0,1,0,1
32,1,0,0,1,0,0,0,0,1,0,1
33,5,0,0,1,0,0,0,0,1,0,1
34,2,0,0,1,0,0,0,0,1,0,1
35,2,0,0,1,0,0,0,0,1,0,1
36,1,1,0,1,0,0,0,0,1,0,1
37,1,0,0,1,0,0,0,0,1,0,1
38,1,0,3,1,0,0,0,0,0,1,0
39,1,0,1,1,0,1,0,0,0,1,0
40,2,0,1,1,0,0,0,0,1,0,1
41,1,0,2,1,0,0,0,0,1,0,1
42,2,0,0,0,1,0,0,0,1,0,1
43,1,0,1,0,1,0,0,0,1,0,1
44,1,1,0,0,1,0,0,0,1,0,1
45,1,0,0,1,0,0,0,0,1,1,1
46,1,1,0,1,0,0,0,0,1,1,1
47,2,0,0,1,0,0,0,0,1,1,1
48,2,0,0,1,0,0,0,0,1,0,1
49,1,0,1,0,1,0,0,0,1,0,1
50,2,1,1,1,0,0,0,0,1,0,0
51,2,1,2,1,0,0,0,0,1,0,1
52,1,0,1,1,1,0,0,0,0,1,0
53,0,0,0,1,0,1,0,0,0,1,1
54,0,0,0,0,0,0,0,0,1,0,0
55,0,0,1,1,0,0,0,0,1,1,1
56,2,2,0,0,0,0,0,0,1,0,1
57,1,0,0,0,0,0,0,0,1,0,1
58,0,0,0,1,0,0,0,0,1,0,1
59,0,0,0,1,0,0,0,0,0,1,0
60,0,0,0,1,0,0,0,0,0,1,0
61,1,0,1,1,0,0,0,0,0,0,0
62,0,0,1,1,1,0,0,0,0,0,1
63,0,1,1,1,0,0,0,0,1,0,1
64,0,0,1,1,0,0,0,0,0,1,0
65,1,0,0,1,0,0,0,0,1,0,1
66,0,0,0,1,0,0,0,0,0,7,1
67,0,0,1,0,0,0,0,0,0,3,1
68,0,0,0,1,0,0,0,0,0,1,1
69,1,0,0,1,1,0,0,0,0,6,1
70,0,1,0,1,0,0,0,0,1,0,1
71,0,0,1,1,0,0,0,0,1,0,0
72,0,0,0,1,0,0,0,0,0,1,0
73,0,0,1,1,0,0,0,0,0,1,1
74,0,0,0,0,0,0,0,0,1,4,1
75,0,0,0,1,0,0,0,0,1,1,1
76,0,0,1,1,0,0,0,0,1,0,1
77,0,0,0,1,0,0,0,0,1,0,1
78,0,0,2,1,1,0,0,0,0,3,0
79,0,0,1,1,0,0,0,0,0,1,0
80,1,1,0,0,0,1,0,0,0,0,0
81,0,0,0,1,0,0,0,0,0,0,0
82,0,0,0,1,0,0,0,0,0,1,0
83,0,0,0,1,0,0,1,0,0,1,0
84,1,0,0,2,0,0,1,0,0,0,0
85,0,0,0,0,0,0,1,0,0,0,0
86,2,1,0,1,0,0,0,2,0,0,0
87,2,1,0,1,0,0,0,0,0,0,0
88,0,0,0,0,0,0,1,0,0,0,1
89,0,0,0,0,0,0,1,1,0,0,0
90,0,0,0,0,0,0,0,0,0,1,1
91,0,0,1,1,0,0,0,0,1,0,0
92,0,1,0,0,0,0,0,1,0,0,0
93,0,0,0,0,0,0,1,0,0,1,1
94,0,0,0,0,0,0,1,2,0,0,0
95,0,0,1,0,0,0,0,0,0,3,0
96,0,0,0,1,0,0,1,2,0,0,1
97,0,0,0,1,0,0,0,0,0,0,0
98,0,0,0,1,0,0,0,0,1,0,1
99,0,0,0,1,1,0,0,0,0,1,0
100,0,0,1,1,0,0,0,1,0,0,0
101,0,0,1,1,0,0,0,0,1,0,0
102,0,0,0,1,0,0,1,0,0,0,0
103,0,0,0,1,0,0,1,0,0,0,0
104,0,0,0,1,0,0,1,0,0,0,0
105,0,0,1,1,0,0,0,0,1,0,0
106,1,1,0,0,0,0,0,0,0,0,0
107,0,0,0,1,0,0,1,0,0,0,0
108,1,0,1,1,0,0,0,0,0,0,0
109,0,0,0,1,0,0,1,0,0,0,0
110,0,0,1,1,1,0,0,0,1,0,0
111,0,0,0,1,0,0,1,0,0,0,0
112,0,0,0,0,0,0,1,0,0,1,0
113,0,0,0,0,0,0,1,0,0,0,0
114,0,0,1,1,0,0,0,0,0,0,0
115,0,0,0,1,0,0,0,0,0,1,0
116,0,0,0,1,0,0,0,0,0,1,0
117,0,0,0,1,0,0,0,0,1,1,1
118,0,0,0,1,0,0,0,0,0,1,1
119,0,0,0,1,0,0,0,0,0,1,0
120,0,0,0,1,0,0,0,0,0,1,0
121,0,0,0,1,0,0,0,0,0,1,0
122,0,0,0,0,0,0,0,1,0,1,0
123,0,0,0,1,0,0,0,1,0,1,0
124,0,0,0,1,0,0,1,1,0,0,0
125,0,0,0,0,0,0,1,0,0,0,0
126,0,0,0,0,0,0,1,0,0,0,0
