BlockId,Label
<ANM>blk_6888300867578983331,Normal</ANM>
<ANM>blk_2101007907134483259,Anomaly</ANM>
<ANM>blk_-3620767662957963389,Normal</ANM>
<ANM>blk_-3949633496933134307,Normal</ANM>
<ANM>blk_5641239200978828454,Normal</ANM>
<ANM>blk_2154193600525549460,Normal</ANM>
<ANM>blk_2243777557693112935,Normal</ANM>
<ANM>blk_-2313277713021896570,Normal</ANM>
<ANM>blk_1021828391502582165,Normal</ANM>
<ANM>blk_560063894682806537,Normal</ANM>
<ANM>blk_-7548149518969960333,Normal</ANM>
<ANM>blk_-1490623381339215624,Normal</ANM>
<ANM>blk_-8974021306351083168,Normal</ANM>
<ANM>blk_8942969309743886844,Normal</ANM>
<ANM>blk_-8645365827804358878,Normal</ANM>
<ANM>blk_-6454539193224916125,Normal</ANM>
<ANM>blk_3764836840384130740,Normal</ANM>
<ANM>blk_-1798958443298220150,Normal</ANM>
<ANM>blk_3598226258881465924,Normal</ANM>
<ANM>blk_-1727475099218615100,Normal</ANM>
<ANM>blk_1064470652608359218,Normal</ANM>
<ANM>blk_8181993091797661153,Normal</ANM>
<ANM>blk_-7680599654910200999,Anomaly</ANM>
<ANM>blk_9060964400089016309,Normal</ANM>
<ANM>blk_8247499802516177421,Normal</ANM>
<ANM>blk_-7527506469734664572,Normal</ANM>
<ANM>blk_-9211699406261033878,Normal</ANM>
<ANM>blk_-657087263710195616,Normal</ANM>
<ANM>blk_-4034227974316905164,Normal</ANM>
<ANM>blk_-4654885003331291932,Normal</ANM>
<ANM>blk_1512136249403454074,Normal</ANM>
<ANM>blk_-2541428592126088938,Normal</ANM>
<ANM>blk_-7125370327234065733,Anomaly</ANM>
<ANM>blk_-7353572928777348242,Normal</ANM>
<ANM>blk_-3486808304671603275,Normal</ANM>
<ANM>blk_-1599621098605751235,Normal</ANM>
<ANM>blk_-4298255715894292387,Normal</ANM>
<ANM>blk_-5124326558394984439,Normal</ANM>
<ANM>blk_-8277873627721528374,Normal</ANM>
<ANM>blk_-4702684774678057084,Normal</ANM>
<ANM>blk_8935202950442998446,Normal</ANM>
<ANM>blk_-1751996688557225241,Normal</ANM>
<ANM>blk_6108023147232847992,Normal</ANM>
<ANM>blk_3862032846413436284,Normal</ANM>
<ANM>blk_4098532420907418423,Normal</ANM>
<ANM>blk_481857539063371482,Anomaly</ANM>
<ANM>blk_-7595375726951801956,Normal</ANM>
<ANM>blk_-309134958179110212,Normal</ANM>
<ANM>blk_-6075803209168884005,Normal</ANM>
<ANM>blk_4068667188725811395,Normal</ANM>
<ANM>blk_-3681974396824196300,Normal</ANM>
<ANM>blk_8473858691873523269,Normal</ANM>
<ANM>blk_392347292517057138,Normal</ANM>
<ANM>blk_6610244864386894422,Normal</ANM>
<ANM>blk_-3922743468150895472,Normal</ANM>
<ANM>blk_4225726256421431188,Normal</ANM>
<ANM>blk_-7106479503467535906,Normal</ANM>
<ANM>blk_6417614801998326532,Normal</ANM>
<ANM>blk_4531288786306744275,Normal</ANM>
<ANM>blk_-3275788837420923000,Normal</ANM>
<ANM>blk_-997605125898553536,Normal</ANM>
<ANM>blk_6881216037013929188,Normal</ANM>
<ANM>blk_-7815259387557421424,Normal</ANM>
<ANM>blk_-736188013503336717,Normal</ANM>
<ANM>blk_1832308388558480,Normal</ANM>
<ANM>blk_153508158653341141,Normal</ANM>
<ANM>blk_5062112794659861146,Normal</ANM>
<ANM>blk_7484759945731484842,Normal</ANM>
<ANM>blk_-4301178988618507084,Normal</ANM>
<ANM>blk_4081177399275502985,Normal</ANM>
<ANM>blk_-8380267327243110056,Normal</ANM>
<ANM>blk_8829027411458566099,Normal</ANM>
<ANM>blk_6000837850922531821,Normal</ANM>
<ANM>blk_2151150262081352617,Normal</ANM>
<ANM>blk_6490003020931145707,Normal</ANM>
<ANM>blk_6138894560185644209,Normal</ANM>
<ANM>blk_679168189072909208,Normal</ANM>
<ANM>blk_4170936278386288557,Normal</ANM>
<ANM>blk_-8255732027871411321,Normal</ANM>
<ANM>blk_-5861348317118763621,Normal</ANM>
<ANM>blk_1598414622053793245,Normal</ANM>
<ANM>blk_-7606467001548719462,Normal</ANM>
<ANM>blk_-8507209254958698084,Normal</ANM>
<ANM>blk_-7418372263556457716,Normal</ANM>
<ANM>blk_6791628131402590260,Normal</ANM>
<ANM>blk_-3636681193077858741,Normal</ANM>
<ANM>blk_2426255659473300323,Normal</ANM>
<ANM>blk_-2451769929123196359,Normal</ANM>
<ANM>blk_-5012639079435860269,Normal</ANM>
<ANM>blk_356592557993755459,Normal</ANM>
<ANM>blk_3764801892187716497,Normal</ANM>
<ANM>blk_-8641647081502666269,Normal</ANM>
<ANM>blk_-6500549130351529113,Normal</ANM>
<ANM>blk_-8570780307468499817,Normal</ANM>
<ANM>blk_-2989288139685694818,Normal</ANM>
<ANM>blk_9163807899833139121,Normal</ANM>
<ANM>blk_1151012386083696649,Normal</ANM>
<ANM>blk_-7319442762668598889,Normal</ANM>
<ANM>blk_-8838632285969241889,Normal</ANM>
<ANM>blk_4524198807982839635,Anomaly</ANM>
<ANM>blk_7297060562345904886,Normal</ANM>
<ANM>blk_-1417908110808566576,Normal</ANM>
<ANM>blk_3243316191092266549,Normal</ANM>
<ANM>blk_-8838161455213213548,Normal</ANM>
<ANM>blk_7864850143895703065,Normal</ANM>
<ANM>blk_4516306414837452219,Normal</ANM>
<ANM>blk_559204981722276126,Normal</ANM>
<ANM>blk_-774267833966018354,Normal</ANM>
<ANM>blk_-9198375937828232046,Normal</ANM>
<ANM>blk_4893049344332234616,Normal</ANM>
<ANM>blk_-3792836284792472725,Normal</ANM>
<ANM>blk_3763728533434719668,Anomaly</ANM>
<ANM>blk_-5511630179413516751,Normal</ANM>
<ANM>blk_-9171803179611497035,Normal</ANM>
<ANM>blk_5952254363678329024,Normal</ANM>
<ANM>blk_-4311652947826112510,Normal</ANM>
<ANM>blk_2737505352081488746,Normal</ANM>
<ANM>blk_6686361711974377273,Normal</ANM>
<ANM>blk_-3888538223380979891,Normal</ANM>
<ANM>blk_-8393060055740236791,Normal</ANM>
<ANM>blk_8861349372992394289,Normal</ANM>
<ANM>blk_-8198423074054354279,Normal</ANM>
<ANM>blk_6374836031306809839,Normal</ANM>
<ANM>blk_-7380871572601322244,Normal</ANM>
<ANM>blk_2304296078821316612,Normal</ANM>
<ANM>blk_-6995454028444097802,Normal</ANM>
<ANM>blk_-5045144756510626150,Normal</ANM>
<ANM>blk_-3491385689517593364,Normal</ANM>
<ANM>blk_3222673463853349950,Normal</ANM>
<ANM>blk_8787656642683881295,Normal</ANM>
<ANM>blk_-4139299269696044017,Normal</ANM>
<ANM>blk_2015610615789582788,Normal</ANM>
<ANM>blk_-5908283405801966540,Normal</ANM>
<ANM>blk_7924393760966842810,Normal</ANM>
